Website Data Type,Website Data,Source
Adwords Cost,0.0,Competitor 1
Adwords Keywords,0.0,Competitor 1
Adwords Traffic,0.0,Competitor 1
Average Visit Duration,0.6414565826330532,Competitor 1
Bounce Rate,0.23830016137708449,Competitor 1
Category Rank,0.4490238611713666,Competitor 1
Direct,1.0,Competitor 1
Display,0.0,Competitor 1
Mail,0.0,Competitor 1
Number of Keywords 1-3,0.08341915550978372,Competitor 1
Number of Keywords 3-10,0.0689655172413793,Competitor 1
Organic Cost,0.06472959413169095,Competitor 1
Organic Keywords,0.03006964727027634,Competitor 1
Organic Keywords Percentage,0.0,Competitor 1
Organic Search,0.024911032028469754,Competitor 1
Organic Traffic,0.047430703282841796,Competitor 1
PLA Keywords,0.0,Competitor 1
PLA Uniques,0.0,Competitor 1
Pages per Visit,0.5174825174825174,Competitor 1
Paid Keywords Percentage,0.0,Competitor 1
Paid Search,0.0,Competitor 1
Rank,0.6649563167383165,Competitor 1
Referrals,0.06072874493927172,Competitor 1
SERP Features Positions,0.04918032786885247,Competitor 1
SERP Features Positions Branded,,Competitor 1
SERP Features Traffic,,Competitor 1
Social,0.4683544303797468,Competitor 1
Total Keywords #5,0.04840255591054314,Competitor 1
Total Visits,0.25575073191133413,Competitor 1
