Website Data Type,Website Data,SemRush API Data Type: Competitor_4,SemRush API Data: Competitor_4
Website Panel,,Database,fr
Company Name,U-picardie.fr,Domain,u-picardie.fr
Category Name,Science and Education Education,Date,20230817
Category Rank,78,Rank,2517
Total Visits,478.0K,Organic Keywords,58811
Bounce Rate,31.42%,Organic Traffic,226175
Pages per Visit,8.92,Organic Cost,63394
Average Visit Duration,00:06:21,Adwords Keywords,0
Keywords Panel: Competitor_4,,Adwords Traffic,0
Total Keywords #5,3.6K,Adwords Cost,0
Organic Keywords Percentage,00.0%,PLA Keywords,0
Paid Keywords Percentage,0.0%,PLA Uniques,0
Marketing Channel Distribution Panel: Competitor_4,,SERP Features Positions,1184
Direct,56.19%,SERP Features Positions Branded,
Referrals,34.76%,SERP Features Traffic,
Organic Search,3.42%,Number of Keywords 1-3,1053
Paid Search,0.00%,Number of Keywords 3-10,2017
Social,1.64%,,
Mail,3.85%,,
Display,0.13%,,
