Website Data Type,Website Data
Adwords Cost,0
Adwords Keywords,0
Adwords Traffic,0
Average Visit Duration,406.0
Bounce Rate,0.4351
Category Rank,104.0
Direct,0.6049
Display,0.0
Mail,0.04190000000000001
Number of Keywords 1-3,555
Number of Keywords 3-10,1198
Organic Cost,12018
Organic Keywords,40945
Organic Keywords Percentage,1.0
Organic Search,0.0174
Organic Traffic,115761
PLA Keywords,0
PLA Uniques,0
Pages per Visit,5.41
Paid Keywords Percentage,0.0
Paid Search,0.0
Rank,4595
Referrals,0.2805
SERP Features Positions,992
SERP Features Positions Branded,
SERP Features Traffic,
Social,0.0553
Total Keywords #5,4500.0
Total Visits,502300.0
